timestamp,message
1589314678312,"START RequestId: fdff2912-1154-4ee4-8032-47db1ea3a7a3 Version: $LATEST
"
1589314678313,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': invalid syntax (lambda_function.py, line 59)
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"" Line 59
                     'sessionAttributes': session_attributes,"
1589314678314,"END RequestId: fdff2912-1154-4ee4-8032-47db1ea3a7a3
"
1589314678314,"REPORT RequestId: fdff2912-1154-4ee4-8032-47db1ea3a7a3	Duration: 1.88 ms	Billed Duration: 100 ms	Memory Size: 128 MB	Max Memory Used: 49 MB	Init Duration: 134.81 ms	
"
